"website","hotelStars","city","state","postalCode","description","location/lat","location/lng","categoryName","title","address","hotelDescription","phone","imageUrl","url","imagesCount"
,,"Ujjain","Madhya Pradesh","456003",,"23.2198921","75.7695999","Restaurant","Shree bhairav kripa family restaurant","Kal Bhairav road, near central jail, Ujjain, Madhya Pradesh 456003, India",,"+91 98276 60173","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-1DlVHpHfb81hRPu8_vaIf8EHf3c-cB7OPqqtprWug02acTBVmymSg8Ezo_G6C0pnMrhrCE5QA-IGwT1vQVce0PGNDv-bM5PEuisd_6BzMJJvWjy4Vv9QCdb2hBAWO4A69As=w408-h544-k-no","https://www.google.com/maps/search/?api=1&query=Shree%20bhairav%20kripa%20family%20restaurant&query_place_id=ChIJfWQ3_YR3YzkRM10sXVti3Uw","22"
,,"Ujjain","Madhya Pradesh",,,"23.2080146","75.7703184","Family restaurant","Aahargraham","6Q5C+644, in front of sthirman Ganesh gadkalika mandir, Urdupura, Ujjain, Madhya Pradesh 456006, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noUSJzAVhdOw7HBeMHkE6uuzzcFgC4wWBXoNKkEnBiEHHH8kfM6nPLW5VuOa2whzfzCY-bqpfYE-DYQwW-E_ftGeFpMPX98PJ8YP21LvW77zxSEuok1i-MqkYtUVf3FW8bV4I2B=w426-h240-k-no","https://www.google.com/maps/search/?api=1&query=Aahargraham&query_place_id=ChIJe6u2WGl3YzkRl8i8Mak92rw","8"
,,"Ujjain","Madhya Pradesh","456006",,"23.1915152","75.7769726","Restaurant","Madhur Bakery And Restaurant","Nikas Chooraha, 1, Lala Lajpat Rai Marg, Malipura, Ujjain, Madhya Pradesh 456006, India",,"+91 94258 29636","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqkeR26lSSXRzOBw8uyJDJ7AyuiJkBhNoyMbp7oh0ol7_1qSzZsbSuZI2dzkipzgc1w87g2ZKboKGuNTAUow93dQZ0-XulFFsNRykvQVBJZ537gmx5-jjmJLYeXlZlYFCz5-QKe=w426-h240-k-no","https://www.google.com/maps/search/?api=1&query=Madhur%20Bakery%20And%20Restaurant&query_place_id=ChIJRf9bJp11YzkR3h9rGlhgNo8","78"
,,"Ujjain","Madhya Pradesh","456006",,"23.1960203","75.7772098","Restaurant","Solanki Restaurant","62, Ankpat Marg, Awantipura, Geeta Colony, Ujjain, Madhya Pradesh 456006, India",,"+91 99777 16424","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqipKgQ863tIHVOy9f6T3_zzO0koiL7TDQRNhkR-LSA99AtxAGO9kfuNzMZgQ03e6pLC-T_tvctdp1J66UdsuoDWaCckpMxFjiSGwFVQZBfe0VwSGIx175BpQ8fZcaT2-tGVlUycg=w408-h544-k-no","https://www.google.com/maps/search/?api=1&query=Solanki%20Restaurant&query_place_id=ChIJj8QCkCR0YzkRgFlTJ1BEokc","18"
,,"Ujjain","Madhya Pradesh","456006",,"23.2111316","75.7830473","Restaurant","Gopika Restaurant Ujjain","Sandipani Asram k Samne, Mangalnath Marg, Ujjain, Madhya Pradesh 456006, India",,"+91 98272 12977","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npNIUbNSDolF4T0kEvtWFb5CPpqsvwU6Q7V4Ae0uHczDerQjRkLmKb-5iwtNFyUfOE2ANtIlpXM5DZuf0qyya8Y1Ie_JJmf-t8h1r1_1PpU4oQr3ldM2RCzk2GD4Qj112Wi_gAW=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Gopika%20Restaurant%20Ujjain&query_place_id=ChIJnYfNKs13YzkRLcsVd3WktTU","303"
,,,"Madhya Pradesh","456003",,"23.2290565","75.7671028","Vegetarian restaurant","Shree Mahankal Restaurant and Dhaba","6QH8+JRH, Ujjain Ring Rd, Madhya Pradesh 456003, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4noI2EmKmolQ04gJcdSljq2iX6YYXldg9cJ9zY6HNJRZ2AObjLW4tp6RI96FzS2o6aOhAUGe4W6AzrAdLTAu9E77-ppsiq2APsk6ba2-9eEsNh5k71o37W7DjqqNh8L6DwHrdE8hFg=w426-h240-k-no","https://www.google.com/maps/search/?api=1&query=Shree%20Mahankal%20Restaurant%20and%20Dhaba&query_place_id=ChIJEzNRRcJ3YzkRKQ-R_MZRdjM","26"
,,"Ujjain","Madhya Pradesh","456001",,"23.2001029","75.7692914","Restaurant","Shree radha madhav restaurant","near Rinmukteshwar mhadev bridge, Shri, Bharthari Gufa Rd, in front of Sant Ravi Das marg, Madhya Pradesh 456001, India",,"+91 92448 01212","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqSrIQ9GKpX6mg9Idl_Ie3QYq1b9QmU0N1uvzf41fK_a5w7Ysoyy2XZyxC7gJOrblS3ofDO89V_q30Jr0Cj-GkEsW4fzz1tBjiRpfev-AEO1ZHcKpJI8a7LeGftoDWyEUpz4SZz=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Shree%20radha%20madhav%20restaurant&query_place_id=ChIJUbZUZwB1YzkREp7TtqsMWuI","106"
,,"Ujjain, Gonsa","Madhya Pradesh","456006",,"23.2082867","75.7499858","Restaurant","Shree Radhe Radhe Family Restaurant And Bhojnalaya","Gonsa ganv, inner, Ring Rd, Ujjain, Madhya Pradesh 456006, India",,"+91 87700 34155","https://lh3.googleusercontent.com/p/AF1QipPpJeAkjY-n6wrjBjdwixPIRiiyHoTWCd0xYuUx=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Shree%20Radhe%20Radhe%20Family%20Restaurant%20And%20Bhojnalaya&query_place_id=ChIJW_c6oN13YzkR1bftwLqqEHA","37"
,,,"Madhya Pradesh",,,"23.230216","75.772173","Dhaba","Chaudhary Restaurant","18, Ingoriya - Unhel Rd, Bhairavgad Chauraha, Madhya Pradesh 456003, India",,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrddWs9polSwjkLd5af9x6vmfiSonDBnSq3vY2tafNqEFWK7tFAjV2dt094tCtMaGuFT_zo2XgSraW6tNp81k0sW1qmp7uPlIGjbT45IfqsW9arIH49bpihyFXK726A5s41AKA=w425-h240-k-no","https://www.google.com/maps/search/?api=1&query=Chaudhary%20Restaurant&query_place_id=ChIJn_GHYe12YzkRXn34Pe8Hqxg","27"
,,"Ujjain","Madhya Pradesh","456006",,"23.2021718","75.7735079","Restaurant","Restaurant Om Shanti","Pipli Naka Chouraha, Ujjain, Madhya Pradesh 456006, India",,"+91 88718 84858","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrznm0wBgU5SAZOSkiBQCPz5lPS7uivRW0A8TFQ0qiWzSekXBehp19mI-72ONfbbcw0BZU7h7CqFRFcIK_Sc72eVCPvqf9MX2YiA2aErIhqS3zAsSvon2-r_oQCFChSHjPwyJIEsw=w408-h306-k-no","https://www.google.com/maps/search/?api=1&query=Restaurant%20Om%20Shanti&query_place_id=ChIJRVSDSiZ0YzkRma64b1suUR8","225"
